,year,country,performer,song,place_f,points_f,place_sf1,points_sf1,place_sf2,points_sf2,broadcaster,composer,writer
 belarus_2012,2012, Belarus, Litesound, We Are The Heroes,,,,, 16, 35, BTRC," Dmitry Kariakin, Vladimir Kariakin"," Dmitry Kariakin, Vladimir Kariakin"
 belgium_2012,2012, Belgium, Iris, Would You?,,, 17, 16,,, VRT," Nina Sampermans, Jean Bosco Safari, Walter Mannaerts"," Nina Sampermans, Jean Bosco Safari, Walter Mannaerts"
 bosnia & herzegovina_2012,2012, Bosnia & Herzegovina, Maya Sar, Korake ti znam, 18, 55,,, 6, 77, BHRT, Maja Sarihodžić, Maja Sarihodžić
 bulgaria_2012,2012, Bulgaria, Sofi Marinova, Love Unlimited,,,,, 11, 45, BNT," Krum Geopriev, Iasen Kozev", Donka Vasileva
 croatia_2012,2012, Croatia, Nina Badrić, Nebo,,,,, 12, 42, HRT, Nina Badrić, Nina Badrić
 cyprus_2012,2012, Cyprus, Ivi Adamou, La La Love, 16, 65, 7, 91,,, CyBC," Alex Papaconstantinou, Bjorn Djupström, Alexandra Zakka, Viktor Svensson"," Alex Papaconstantinou, Bjorn Djupström, Alexandra Zakka, Viktor Svensson"
 denmark_2012,2012, Denmark, Soluna Samay, Should've Known Better, 23, 21, 9, 63,,, DR," Chief 1, Remee"," Chief 1, Remee, Isam B"
 estonia_2012,2012, Estonia, Ott Lepland, Kuula, 6, 120,,, 4, 100, ERR, Ott Lepland, Aapo Ilves
 finland_2012,2012, Finland, Pernilla, När Jag Blundar,,, 12, 41,,, YLE, Jonas Karlsson, Jonas Karlsson
 france_2012,2012, France, Anggun, Echo (You And I), 22, 21,,,,, France 3," Jean Pierre Pilot, William Rousseau"," William Rousseau, Anggun"
 georgia_2012,2012, Georgia, Anri Jokhadze, I'm A Joker,,,,, 14, 36, GPB, Rusudan Chkhaidze, Bibi Kvachadze
 germany_2012,2012, Germany, Roman Lob, Standing Still, 8, 110,,,,, NDR," Wayne Hector, Jamie Cullum, Steve Robson"," Wayne Hector, Jamie Cullum, Steve Robson"
 greece_2012,2012, Greece, Eleftheria Eleftheriou, Aphrodisiac, 17, 64, 4, 116,,, ERT," Dimitri Stassos, Mikaela Stenström, Dajana Lööf"," Dimitri Stassos, Mikaela Stenström, Dajana Lööf"
 hungary_2012,2012, Hungary, Compact Disco, Sound Of Our Hearts, 24, 19, 10, 52,,, MTV," Behnam Lotfi, Gábor Pál, Attila Sándor, Csaba Walkó"," Behnam Lotfi, Gábor Pál, Attila Sándor, Csaba Walkó"
 iceland_2012,2012, Iceland, Greta Salóme & Jónsi, Never Forget, 20, 46, 8, 75,,, RÚV, Gréta Salóme, Gréta Salóme
 ireland_2012,2012, Ireland, Jedward, Waterline, 19, 46, 6, 92,,, RTÉ," Nick Jarl, Sharon Vaughn"," Nick Jarl, Sharon Vaughn"
 israel_2012,2012, Israel, Izabo, Time,,, 13, 33,,, IBA," Ran Shem-Tov, Shiri Hadar"," Shem-Tov, Shiri Hadar"
 italy_2012,2012, Italy, Nina Zilli, L'Amore È Femmina (Out Of Love), 9, 101,,,,, RAI," Christian Rabb, Kristoffer Sjökvist, Frida Molander, Charlie Mason"," Nina Zilli, Christian Rabb, Kristoffer Sjökvist, Frida Molander, Charlie Mason"
 latvia_2012,2012, Latvia, Anmary, Beautiful Song,,, 16, 17,,, LTV, Ivars Makstnieks, Rolands Ūdris
 lithuania_2012,2012, Lithuania, Donny Montell, Love Is Blind, 14, 70,,, 3, 104, LRT, Brandon Stone," Brandon Stone, Jodie Rose"
 malta_2012,2012, Malta, Kurt Calleja, This Is The Night, 21, 41,,, 7, 70, PBM," Johan Jämtberg, Mikael Gunnerås, Kurt Calleja"," Johan Jämtberg, Mikael Gunnerås, Kurt Calleja"
 moldova_2012,2012, Moldova, Pasha Parfeny, Lăutar, 11, 81, 5, 100,,, TRM," Pasha Parfeny, Alex Brashovean", Pasha Parfeny
 montenegro_2012,2012, Montenegro, Rambo Amadeus, Euro Neuro,,, 15, 20,,, RTCG, Rambo Amadeus, Rambo Amadeus
 netherlands_2012,2012, Netherlands, Joan Franka, You And Me,,,,, 15, 35, TROS," Joan Franka, Jessica Hoogenboom", Joan Franka
 north macedonia_2012,2012, North Macedonia, Kaliopi, Crno I Belo, 13, 71,,, 9, 53, MKRTV, Romeo Grill, Kaliopi
 norway_2012,2012, Norway, Tooji, Stay, 26, 7,,, 10, 45, NRK," Tooji, Figge Boström, Peter Boström"," Tooji, Figge Boström, Peter Boström"
 portugal_2012,2012, Portugal, Filipa Sousa, Vida Minha,,,,, 13, 39, RTP, Andrej Babic, Carlos Coelho
 romania_2012,2012, Romania, Mandinga, Zaleilah, 12, 71, 3, 120,,, TVR, Costi Ionita," Elena Ionescu, Dihigo Omar Secada, Costi Ionita"
 russia_2012,2012, Russia, Buranovskiye Babushki, Party For Everybody, 2, 259, 1, 152,,, RTR," Viktor Drobysh, Timofei Leontiev"," Olga Tuktareva, Marry S. Applegate"
 san marino_2012,2012, San Marino, Valentina Monetta, The Social Network Song (Oh Oh – Uh - Oh Oh),,, 14, 31,,, SMRTV, Ralph Siegel," Timothy Touchton, José Santana Rodriguez"
 serbia_2012,2012, Serbia, Željko Joksimović, Nije Ljubav Stvar, 3, 214,,, 2, 159, RTS, Željko Joksimović," Marina Tucaković, Miloš Roganović"
 slovakia_2012,2012, Slovakia, Max Jason Mai, Don't Close Your Eyes,,,,, 18, 22, STV, Max Jason Mai, Max Jason Mai
 slovenia_2012,2012, Slovenia, Eva Boto, Verjamem,,,,, 17, 31, RTVSLO," Vladimir Graić, Hari Mata Hari", Igor Pirkovič
 spain_2012,2012, Spain, Pastora Soler, Quédate Conmigo (Stay With Me), 10, 97,,,,, TVE," Antonio Sánchez, Thomas G:son, Erik Bernholm", Antonio Sánchez
 sweden_2012,2012, Sweden, Loreen, Euphoria, 1, 372,,, 1, 181, SVT," Thomas G:son, Peter Boström"," Thomas G:son, Peter Boström"
 switzerland_2012,2012, Switzerland, Sinplus, Unbreakable,,, 11, 45,,, SRG SSR idée suisse," Gabriel Broggini, Ivan Broggini"," Gabriel Broggini, Ivan Broggini"
 turkey_2012,2012, Turkey, Can Bonomo, Love Me Back, 7, 112,,, 5, 80, TRT, Can Bonomo, Can Bonomo
 ukraine_2012,2012, Ukraine, Gaitana, Be My Guest, 15, 65,,, 8, 64, NTU," Gaitana, KIWI Project", Gaitana
 united kingdom_2012,2012, United Kingdom, Engelbert Humperdinck, Love Will Set You Free, 25, 12,,,,, BBC," Martin Terefe, Sacha Skarbek"," Martin Terefe, Sacha Skarbek"
 albania_2013,2013, Albania," Adrian Lulgjuraj, Bledar Sejko", Identitet,,,,, 15, 31, RTSH, Bledar Sejko, Eda Sejko
 armenia_2013,2013, Armenia, Dorians, Lonely Planet, 18, 41,,, 7, 69, AMPTV, Tony Iommi, Vardan Zadoyan
 austria_2013,2013, Austria, Natália Kelly, Shine,,, 14, 27,,, ORF," Andreas Grass, Nikola Paryla, Alexander Kahr"," Andreas Grass, Nikola Paryla, Natália Kelly"
 azerbaijan_2013,2013, Azerbaijan, Farid Mammadov, Hold Me, 2, 234,,, 1, 139, İctimai, Dimitrios Kontopoulos," John Ballard, Ralph Charlie Al Fahel"
 belarus_2013,2013, Belarus, Alyona Lanskaya, Solayoh, 16, 48, 7, 64,,, BTRC, Marc Paelinck, Martin King
 belgium_2013,2013, Belgium, Roberto Bellarosa, Love Kills, 12, 71, 5, 75,,, RTBF," Iain James, Jukka Immonen"," Iain James, Jukka Immonen"
 bulgaria_2013,2013, Bulgaria," Elitsa Todorova, Stoyan Yankulov", Samo Shampioni (Only Champions),,,,, 12, 45, BNT," Elitsa Todorova, Christian Talev"," Elitsa Todorova, Christian Talev"
 croatia_2013,2013, Croatia, Klapa s mora, Mižerja,,, 13, 38,,, HRT, Goran Topolovac, Goran Topolovac
 cyprus_2013,2013, Cyprus, Despina Olympiou, An Me Thimasai,,, 15, 11,,, CyBC, Andreas Giorgallis, Zenon Zintillis
 denmark_2013,2013, Denmark, Emmelie de Forest, Only Teardrops, 1, 281, 1, 167,,, DR," Lise Cabble, Julia Fabrin Jakobsen, Thomas Stengaard"," Lise Cabble, Julia Fabrin Jakobsen, Thomas Stengaard"
 estonia_2013,2013, Estonia, Birgit, Et Uus Saaks Alguse, 20, 19, 10, 52,,, ERR, Mihkel Mattisen," Mihkel Mattisen, Silvia Soro"
 finland_2013,2013, Finland, Krista Siegfrids, Marry Me, 24, 13,,, 9, 64, YLE," Krista Siegfrids, Erik Nyholm, Kristoffer Karlsson, Jessica Lundström"," Krista Siegfrids, Erik Nyholm, Kristoffer Karlsson, Jessica Lundström"
 france_2013,2013, France, Amandine Bourgeois, L'enfer Et Moi, 23, 14,,,,, France 3, David Salkin, Boris Bergman
 georgia_2013,2013, Georgia, Nodi Tatishvili & Sophie Gelovani, Waterfall, 15, 50,,, 10, 63, GPB," Thomas G:son, Erik Bernholm", Thomas G:son
 germany_2013,2013, Germany, Cascada, Glorious, 21, 18,,,,, NDR," Yann Peifer, Manuel Reuter, Andres Ballinas, Tony Cornelissen"," Yann Peifer, Manuel Reuter, Andres Ballinas, Tony Cornelissen"
 greece_2013,2013, Greece, Koza Mostra feat. Agathon Iakovidis, Alcohol Is Free, 6, 152,,, 2, 121, ERT, Ilias Kozas," Stathis Pachidis, Ilias Kozas"
 hungary_2013,2013, Hungary, ByeAlex, Kedvesem (Zoohacker Remix), 10, 84,,, 8, 66, MTV," Alex Márta, Zoltán Palásti Kovács", Alex Márta
 iceland_2013,2013, Iceland, Eythor Ingi, Ég Á Líf, 17, 47,,, 6, 72, RÚV," Örlygur Smári, Pétur Örn Gudmundsson"," Örlygur Smári, Pétur Örn Gudmundsson"
 ireland_2013,2013, Ireland, Ryan Dolan, Only Love Survives, 26, 5, 8, 54,,, RTÉ," Wez Devine, Ryan Dolan"," Wez Devine, Ryan Dolan"
 israel_2013,2013, Israel, Moran Mazor, Rak Bishvilo,,,,, 14, 40, IBA, Hen Harari, Gal Sarig
 italy_2013,2013, Italy, Marco Mengoni, L'Essenziale, 7, 126,,,,, RAI," Francesco De Benedittis, Roberto Casalino, Marco Mengoni", Roberto Casalino
 latvia_2013,2013, Latvia, PeR, Here We Go,,,,, 17, 13, LTV," Ralfs Eilands, Arturas Burke", Ralfs Eilands
 lithuania_2013,2013, Lithuania, Andrius Pojavis, Something, 22, 17, 9, 53,,, LRT, Andrius Pojavis, Andrius Pojavis
 malta_2013,2013, Malta, Gianluca, Tomorrow, 8, 120,,, 4, 118, PBS," Boris Cezek, Dean Muscat"," Boris Cezek, Dean Muscat"
 moldova_2013,2013, Moldova, Aliona Moon, O Mie, 11, 71, 4, 95,,, TRM, Pasha Parfeny, Yuliana Scutaru
 montenegro_2013,2013, Montenegro, Who See, Igranka,,, 12, 41,,, RTCG, Djordje Miljenovic (Wikluh Sky)," Dejan Dedovic (Dedduh), Mario Djordjevic (Noyz), Djordje Miljenovic (Wikluh Sky)"
 netherlands_2013,2013, Netherlands, Anouk, Birds, 9, 114, 6, 75,,, TROS," Tore Johansson, Martin Gjerstad", Anouk Teeuwe
 north macedonia_2013,2013, North Macedonia, Esma & Lozano, Pred Da Se Razdeni,,,,, 16, 28, MKRTV," Darko Dimitrov, Lazar Cvetkovski, Simeon Atanasov", Magdalena Cvetkovska
 norway_2013,2013, Norway, Margaret Berger, I Feed You My Love, 4, 191,,, 3, 120, NRK," Karin Park, Robin Lynch, Niklas Olovson"," Karin Park, Robin Lynch, Niklas Olovson"
 romania_2013,2013, Romania, Cezar, It's My Life, 13, 65,,, 5, 83, TVR, Cristian Faur, Cristian Faur
 russia_2013,2013, Russia, Dina Garipova, What If, 5, 174, 2, 156,,, C1R," Gabriel Alares, Joakim Björnberg, Leonid Gutkin"," Gabriel Alares, Joakim Björnberg, Leonid Gutkin"
 san marino_2013,2013, San Marino, Valentina Monetta, Crisalide (Vola),,,,, 11, 47, SMRTV, Ralph Siegel, Mauro Balestri
 serbia_2013,2013, Serbia, Moje 3, Ljubav Je Svuda,,, 11, 46,,, RTS, Saša Milošević Mare, Marina Tucaković
 slovenia_2013,2013, Slovenia, Hannah, Straight Into Love,,, 16, 8,,, RTVSLO," Hannah Mancini, Gregor Zemljic, Erik Margan, Matija Rodic"," Hannah Mancini, Marko Primuzak"
 spain_2013,2013, Spain, ESDM, Contigo Hasta El Final (With You Until The End), 25, 8,,,,, TVE," Raquel del Rosario, David Feito, Juan Suárez"," Raquel del Rosario, David Feito, Juan Suárez"
 sweden_2013,2013, Sweden, Robin Stjernberg, You, 14, 62,,,,, SVT," Robin Stjernberg, Joy Deb, Linnea Deb, Joakim Harestad Haukaas"," Robin Stjernberg, Joy Deb, Linnea Deb, Joakim Harestad Haukaas"
 switzerland_2013,2013, Switzerland, Takasa, You And Me,,,,, 13, 41, SSR SRG," Georg Schlunegger, Roman Camenzind, Fred Herrmann"," Georg Schlunegger, Roman Camenzind, Fred Herrmann"
 ukraine_2013,2013, Ukraine, Zlata Ognevich, Gravity, 3, 214, 3, 140,,, NTU, Mikhail Nekrasov, Karen Kavaleryan
 united kingdom_2013,2013, United Kingdom, Bonnie Tyler, Believe In Me, 19, 23,,,,, BBC," Desmond Child, Lauren Christy, Christopher Braide"," Desmond Child, Lauren Christy, Christopher Braide"
 albania_2014,2014, Albania, Hersi, One Night's Anger,,, 15, 22,,, RTSH, Gentian Lako, Jorgo Papingji
 armenia_2014,2014, Armenia, Aram MP3, Not Alone, 4, 174, 4, 121,,, AMPTV, Aram MP3, Garik Papoyan
 austria_2014,2014, Austria, Conchita Wurst, Rise Like a Phoenix, 1, 290,,, 1, 169, ORF," Charly Mason, Joey Patulka, Ali Zuckowski, Julian Maas"," Charly Mason, Joey Patulka, Ali Zuckowski, Julian Maas"
 azerbaijan_2014,2014, Azerbaijan, Dilara Kazimova, Start A Fire, 22, 33, 9, 57,,, İctimai," Stefan Örn, Johan Kronlund, Alessandra Günthardt"," Stefan Örn, Johan Kronlund, Alessandra Günthardt"
 belarus_2014,2014, Belarus, Teo, Cheesecake, 16, 43,,, 5, 87, BTRC, Yury Vashchuk (Teo), Dmitry Novik
 belgium_2014,2014, Belgium, Axel Hirsoux, Mother,,, 14, 28,,, VRT," Rafael Artesero, Ashley Hicklin"," Rafael Artesero, Ashley Hicklin"
 denmark_2014,2014, Denmark, Basim, Cliche Love Song, 9, 74,,,,, DR," Lasse Lindorff, Kim Novak-Zorde, Daniel Fält"," Lasse Lindorff, Kim Novak-Zorde, Daniel Fält"
 estonia_2014,2014, Estonia, Tanja, Amazing,,, 12, 36,,, ERR," Timo Vendt, Tanja", Tanja
 finland_2014,2014, Finland, Softengine, Something Better, 11, 72,,, 3, 97, YLE, Topi Latukka," Henri Oskár, Topi Latukka"
 france_2014,2014, France, TWIN TWIN, Moustache, 26, 2,,,,, FT3," Pierre Beyres, Kim N’Guyen"," Lorent Ardouvin, François Ardouvin"
 georgia_2014,2014, Georgia, The Shin and Mariko, Three Minutes to Earth,,,,, 15, 15, GPB, Zaza Miminoshvili, Eugen Eliu
 germany_2014,2014, Germany, Elaiza, Is it right, 18, 39,,,,, NDR," Elzbieta Steinmetz, Frank Kretschmer"," Elzbieta Steinmetz, Adam Kesselhaut"
 greece_2014,2014, Greece, Freaky Fortune feat. RiskyKidd, Rise Up, 20, 35,,, 7, 74, NERIT, Freaky Fortune," Freaky Fortune, RiskyKidd"
 hungary_2014,2014, Hungary, András Kállay-Saunders, Running, 5, 143, 3, 127,,, MTV," András Kállay-Saunders, Krisztián Szakos", András Kállay-Saunders
 iceland_2014,2014, Iceland, Pollapönk, No Prejudice, 15, 58, 8, 61,,, RÚV, Heidar Orn Kristjansson," Heidar Orn Kristjansson, Haraldur Freyr Gislason, John Grant"
 ireland_2014,2014, Ireland, Can-Linn (featuring Kasey Smith), Heartbeat,,,,, 12, 35, RTÉ," Hazel Kaneswaran, Jonas Gladnikoff, Rasmus Palmgren, Patrizia Helander"," Jonas Gladnikoff, Rasmus Palmgren, Patrizia Helander"
 israel_2014,2014, Israel, Mei Finegold, Same Heart,,,,, 14, 19, IBA, Rami Talmid, Rami Talmid
 italy_2014,2014, Italy, Emma, La Mia Città, 21, 33,,,,, RAI, Emma Marrone, Emma Marrone
 latvia_2014,2014, Latvia, Aarzemnieki, Cake to bake,,, 13, 33,,, LTV, Guntis Veilands, Guntis Veilands
 lithuania_2014,2014, Lithuania, Vilija Matačiūnaitė, Attention,,,,, 11, 36, LRT," Vilija Matačiūnaitė , Viktoras Vaupšas", Vilija Matačiūnaitė
 malta_2014,2014, Malta, Firelight, Coming Home, 23, 32,,, 9, 63, PBS, Richard Edwards Micallef, Richard Edwards Micallef
 moldova_2014,2014, Moldova, Cristina Scarlat, Wild Soul,,, 16, 13,,, TRM, Ivan Akulov, Lidia Scarlat
 montenegro_2014,2014, Montenegro, Sergej Ćetković, Moj Svijet, 19, 37, 7, 63,,, RTCG, Sergej Ćetković," Sergej Ćetković, Emina Sandal"
 netherlands_2014,2014, Netherlands, The Common Linnets, Calm After The Storm, 2, 238, 1, 150,,, AVROTROS," Ilse DeLange, JB Meijers, Rob Crosby, Matthew Crosby, Jake Etheridge"," Ilse DeLange, JB Meijers, Rob Crosby, Matthew Crosby, Jake Etheridge"
 north macedonia_2014,2014, North Macedonia, Tijana, To the Sky,,,,, 13, 33, MKRTV," Darko Dimitrov, Lazar Cvetkoski"," Elena Risteska Ivanovska, Darko Dimitrov"
 norway_2014,2014, Norway, Carl Espen, Silent Storm, 8, 88,,, 6, 77, NRK, Josefin Winther, Josefin Winther
 poland_2014,2014, Poland, Donatan & Cleo, My Słowianie - We Are Slavic, 14, 62,,, 8, 70, TVP, Donatan, Cleo
 portugal_2014,2014, Portugal, Suzy, Quero Ser Tua,,, 11, 39,,, RTP, Emanuel, Emanuel
 romania_2014,2014, Romania, Paula Seling & OVI, Miracle, 12, 72,,, 2, 125, TVR," Ovi, Philip Halloun, Frida Amundsen, Beyond51"," Ovi, Philip Halloun, Frida Amundsen, Beyond51"
 russia_2014,2014, Russia, Tolmachevy Sisters, Shine, 7, 89, 6, 63,,, RTR," Philipp Kirkorov, Dimitris Kontopoulos"," John Ballard, Ralph Charlie, Gerard James Borg"
 san marino_2014,2014, San Marino, Valentina Monetta, Maybe (Forse), 24, 14, 10, 40,,, SMRTV, Ralph Siegel, Mauro Balestri
 slovenia_2014,2014, Slovenia, Tinkara Kovač, Round and round, 25, 9,,, 10, 52, RTVSLO, Raay," Tinkara Kovač, Hannah Mancini, Tina Piš"
 spain_2014,2014, Spain, Ruth Lorenzo, Dancing in the rain, 10, 74,,,,, TVE," Ruth Lorenzo, James Lawrence Irvin, Julian Emery"," Ruth Lorenzo, James Lawrence Irvin, Julian Emery"
 sweden_2014,2014, Sweden, Sanna Nielsen, Undo, 3, 218, 2, 131,,, SVT," Fredrik Kempe, David Kreuger, Hamed ""K-One” Pirouzpanah"," Fredrik Kempe, David Kreuger, Hamed ""K-One” Pirouzpanah"
 switzerland_2014,2014, Switzerland, Sebalter, Hunter Of Stars, 13, 64,,, 4, 92, SSR SRG, Sebastiano Paù-Lessi, Sebastiano Paù-Lessi
 ukraine_2014,2014, Ukraine, Mariya Yaremchuk, Tick - Tock, 6, 113, 5, 118,,, NTU, Mariya Yaremchuk," Mariya Yaremchuk, Sandra Bjurman"
 united kingdom_2014,2014, United Kingdom, Molly, Children of the Universe, 17, 40,,,,, BBC, Molly Smitten-Downes & Anders Hansson, Molly Smitten-Downes & Anders Hansson
 albania_2015,2015, Albania, Elhaida Dani, I'm Alive, 17, 34, 10, 62,,, RTSH," Arber Elshani, Kristijan Lekaj (Zzap'n'Chriss)", Sokol Marsi
 armenia_2015,2015, Armenia, Genealogy, Face The Shadow, 16, 34, 7, 77,,, AMPTV, Armen Martirosyan, Inna Mkrtchyan
 australia_2015,2015, Australia, Guy Sebastian, Tonight Again, 5, 196,,,,, SBS," Guy Sebastian, David Ryan Harris, Louis Schoorl"," Guy Sebastian, David Ryan Harris, Louis Schoorl"
 austria_2015,2015, Austria, The Makemakes, I Am Yours, 26, 0,,,,, ORF, Jimmy Harry and The Makemakes, Jimmy Harry and The Makemakes
 azerbaijan_2015,2015, Azerbaijan, Elnur Huseynov, Hour Of The Wolf, 12, 49,,, 10, 53, İctimai," Nicolas Rebscher, Nicklas Lif, Lina Hansson"," Sandra Bjurman, Nicolas Rebscher, Nicklas Lif, Lina Hansson"
 belarus_2015,2015, Belarus, Uzari&Maimuna, Time,,, 12, 39,,, BTRC, Uzari, Gerylana/Maimuna
 belgium_2015,2015, Belgium, Loïc Nottet, Rhythm Inside, 4, 217, 2, 149,,, RTBF, Loïc Nottet, Beverly Jo Scott
 cyprus_2015,2015, Cyprus, John Karayiannis, One Thing I Should Have Done, 22, 11,,, 6, 87, CyBC, Mike Connaris, Mike Connaris
 czech republic_2015,2015, Czech Republic, Marta Jandová and Václav Noid Bárta, Hope Never Dies,,,,, 13, 33, ČT, Václav Noid Bárta, Tereza Šoralová
 denmark_2015,2015, Denmark, Anti Social Media, The Way You Are,,, 13, 33,,, DR," Remee, Chief 1"," Remee, Chief 1"
 estonia_2015,2015, Estonia, Elina Born & Stig Rästa, Goodbye To Yesterday, 7, 106, 3, 105,,, ERR, Stig Rästa, Stig Rästa
 finland_2015,2015, Finland, Pertti Kurikan Nimipäivät, Aina Mun Pitää,,, 16, 13,,, YLE, Pertti Kurikan Nimipäivät, Pertti Kurikan Nimipäivät
 france_2015,2015, France, Lisa Angell, N'oubliez Pas, 25, 4,,,,, France 2," Michel Illouz, M. Albert"," Michel Illouz, M. Albert"
 georgia_2015,2015, Georgia, Nina Sublatti, Warrior, 11, 51, 4, 98,,, GPB," Nina Sublatti, Thomas G:son", Nina Sublatti
 germany_2015,2015, Germany, Ann Sophie, Black Smoke, 27, 0,,,,, NDR," Michael Harwood, Ella McMahon, Tonino Speciale"," Michael Harwood, Ella McMahon, Tonino Speciale"
 greece_2015,2015, Greece, Maria Elena Kyriakou, One Last Breath, 19, 23, 6, 81,,, NERIT," Efthivoulos Theocharous, Maria-Elena Kyriakou"," Vangelis Konstantinidis, Evelina Tziora"
 hungary_2015,2015, Hungary, Boogie, Wars For Nothing, 20, 19, 8, 67,,, MTV," Áron Sebestyén, Boglárka Csemer", Sára Hélène Bori
 iceland_2015,2015, Iceland, Maria Olafs, Unbroken,,,,, 15, 14, RÚV," Ásgeir Orri Ásgeirsson, Pálmi Ragnar Ásgeirsson, Sæþór Kristjánsson"," Ásgeir Orri Ásgeirsson, Pálmi Ragnar Ásgeirsson, Sæþór Kristjánsson, María Ólafsdóttir"
 ireland_2015,2015, Ireland, Molly Sterling, Playing With Numbers,,,,, 12, 35, RTÉ," Greg French, Molly Sterling"," Greg French, Molly Sterling"
 israel_2015,2015, Israel, Nadav Guedj, Golden Boy, 9, 97,,, 3, 151, IBA, Doron Medalie, Doron Medalie
 italy_2015,2015, Italy, Il Volo, Grande Amore, 3, 292,,,,, RAI," Ciro Esposito, Francesco Boccia"," Ciro Esposito, Francesco Boccia"
 latvia_2015,2015, Latvia, Aminata, Love Injected, 6, 186,,, 2, 155, LTV, Aminata Savadogo, Aminata Savadogo
 lithuania_2015,2015, Lithuania, Monika Linkytė and Vaidas Baumila, This Time, 18, 30,,, 7, 67, LRT, Vytautas Bikus, Monika Liubinaitė
 malta_2015,2015, Malta, Amber, Warrior,,,,, 11, 43, PBS, Elton Zarb, Matt Muxu Mercieca
 moldova_2015,2015, Moldova, Eduard Romanyuta, I Want Your Love,,, 11, 41,,, TRM," Erik Lewander, Hayley Aitken, Tom Andrews"," Erik Lewander, Hayley Aitken, Tom Andrews"
 montenegro_2015,2015, Montenegro, Knez, Adio, 13, 44,,, 9, 57, RTCG, Željko Joksimović, Marina Tucaković & Dejan Ivanović
 netherlands_2015,2015, Netherlands, Trijntje Oosterhuis, Walk Along,,, 14, 33,,, AVROTROS, Tobias Karlsson, Anouk Teeuwe
 north macedonia_2015,2015, North Macedonia, Daniel Kajmakoski, Autumn Leaves,,, 15, 28,,, MKRTV, Joacim Persson, Joacim Persson
 norway_2015,2015, Norway, Mørland & Debrah Scarlett, A Monster Like Me, 8, 102,,, 4, 123, NRK, Kjetil Mørland, Kjetil Mørland
 poland_2015,2015, Poland, Monika Kuszyńska, In The Name Of Love, 23, 10,,, 8, 57, TVP, Kuba Raczyński, Monika Kuszyńska
 portugal_2015,2015, Portugal, Leonor Andrade, Há Um Mar Que Nos Separa,,,,, 14, 19, RTP, Miguel Gameiro, Miguel Gameiro
 romania_2015,2015, Romania, Voltaj, De La Capat / All Over Again, 15, 35, 5, 89,,, TVR," Calin Gavril Goia, Gabriel Constantin, Adrian Cristescu, Paduraru Silviu-Marian, Alstani Victor-Razvan"," Calin Gavril Goia, Gabriel Constantin, Adrian Cristescu, Paduraru Silviu-Marian, Alstani Victor-Razvan, Monica-Ana Stevens, Andrei-Madalin Leonte"
 russia_2015,2015, Russia, Polina Gagarina, A Million Voices, 2, 303, 1, 182,,, C1R," Gabriel Alares, Joakim Björnberg, Katrina Noorbergen, Leonid Gutkin, Vladimir Matetsky"," Gabriel Alares, Joakim Björnberg, Katrina Noorbergen, Leonid Gutkin, Vladimir Matetsky"
 san marino_2015,2015, San Marino, Anita Simoncini & Michele Perniola, Chain Of Lights,,,,, 16, 11, SMRTV, Ralph Siegel, John O'Flynn
 serbia_2015,2015, Serbia, Bojana Stamenov, Beauty Never Lies, 10, 53, 9, 63,,, RTS, Vladimir Graić, Charlie Mason
 slovenia_2015,2015, Slovenia, Maraaya, Here For You, 14, 39,,, 5, 92, RTVSLO," Raay, Marjetka Vovk"," Charlie Mason, Raay"
 spain_2015,2015, Spain, Edurne, Amanecer, 21, 15,,,,, TVE," Tony Sánchez-Ohlsson, Peter Boström & Thomas G:son"," Tony Sánchez-Ohlsson, Peter Boström & Thomas G:son"
 sweden_2015,2015, Sweden, Måns Zelmerlöw, Heroes, 1, 365,,, 1, 217, SVT," Linnea Deb, Joy Deb, Anton Hård af Segerstad"," Linnea Deb, Joy Deb, Anton Hård af Segerstad"
 switzerland_2015,2015, Switzerland, Mélanie René, Time To Shine,,,,, 17, 4, SSR SRG, Mélanie René, Mélanie René
 united kingdom_2015,2015, United Kingdom, Electro Velvet, Still In Love With You, 24, 5,,,,, BBC," David Mindel, Adrian Bax White"," David Mindel, Adrian Bax White"
 albania_2016,2016, Albania, Eneda Tarifa, Fairytale,,,,, 16, 45, RTSH, Olsa Toqi, Olsa Toqi
 armenia_2016,2016, Armenia, Iveta Mukuchyan, LoveWave, 7, 249, 2, 243,,, AMPTV," Lilith Navasardyan, Levon Navasardyan"," Iveta Mukuchyan, Stephanie Crutchfield"
 australia_2016,2016, Australia, Dami Im, Sound Of Silence, 2, 511,,, 1, 330, SBS, DNA (David Musumeci & Anthony Egizii), DNA (David Musumeci & Anthony Egizii)
 austria_2016,2016, Austria, ZOË, Loin d'ici, 13, 151, 7, 170,,, ORF, Christof Straub & Zoe Straub, Christof Straub & Zoe Straub
 azerbaijan_2016,2016, Azerbaijan, Samra, Miracle, 17, 117, 6, 185,,, İctimai," Amir Aly, Jakke T.I Jakke Erixson, Henrik Wikström"," Amir Aly, Jakke T.I Jakke Erixson, Henrik Wikström"
 belarus_2016,2016, Belarus, IVAN, Help You Fly,,,,, 12, 84, BTRC, Victor Drobysh," Alexander Ivanov, Timofei Leontiev, Mary Susane Applegate"
 belgium_2016,2016, Belgium, Laura Tesoro, What's The Pressure, 10, 181,,, 3, 274, VRT," Sanne Putseys, Birsen Uçar"," Sanne Putseys, Louis Favre, Yannick Werther"
